Collection ID	1245
Type	SpectraCollection
Description	2,10 mg/kg
Processing log	Standardized ppm range to 11.7817:0.00043:-2.2. Set reference [0.030000,-0.030000]. Fixed baseline. Cropped ranges: 9.5,0.18. Zeroed ranges: 6.01,5.54;4.9,4.7.
Base sample ID	5421	5422	5423	5424	5425	5426	5427
Time	2	2	2	2	2	2	2
Classification	10 mg/kg	10 mg/kg	10 mg/kg	10 mg/kg	10 mg/kg	10 mg/kg	10 mg/kg
Sample ID							
Subject ID	183	180	29	30	181	182	28
Sample Description							
Weight							
Units of weight							
Species							
X	Y0	Y1	Y2	Y3	Y4	Y5	Y6
9.46486	1.245214	0.263202	0.082263	0.228947	0.176704	0.561293	0.601176
9.46443	0.641657	0.310084	0.121035	0.026717	0.300931	0.616428	0.555908
9.464	0.653859	0.382308	0.078813	0.259144	0.25385	0.474748	0.391969
9.46357	0.66376	0.270035	0.007142	0.633683	0.297041	0.301412	0.289513
9.46314	0.41409	0.32376	0.012716	0.469256	0.353412	0.211225	0.169106
9.46271	0.227114	0.333527	0.207703	0.578106	0.300611	0.414325	0.174152
9.46228	0.342155	0.327828	0.093399	0.569513	0.266364	0.607365	0.530563
9.46185	0.320182	0.326937	0.078359	0.078836	0.292379	0.495332	0.469252
9.46142	0.392281	0.226256	-0.182843	0.126949	0.283692	0.505711	0.482529
9.46099	0.664204	0.151362	-0.131825	0.461968	0.188221	0.558182	0.51509
9.46056	0.244678	0.287244	0.003186	0.122078	0.133038	0.520878	0.320707
9.46013	0.046294	0.288769	0.049159	-0.105234	0.121294	0.337031	0.43042
9.4597	0.748875	0.292731	0.210405	0.064782	0.188805	0.557367	0.651861
9.45927	0.952384	0.317267	0.167971	0.153797	0.303999	0.657007	1.066821
9.45884	0.813355	0.259579	0.422812	-0.253262	0.248652	0.464275	0.959704
9.45841	0.407713	0.176819	0.353119	-0.32071	0.178245	0.479009	0.809821
9.45798	0.828326	0.214738	0.245366	-0.01501	0.065462	0.655913	0.697653
9.45755	0.898072	0.266284	0.161887	0.127657	0.148634	0.78119	0.69937
9.45712	0.982698	0.150287	0.226706	0.414925	0.186284	0.57607	0.583884
9.45669	0.663792	-0.003321	0.116778	0.530801	-0.028386	0.364974	0.523711
9.45626	0.383458	0.143094	0.09083	0.193485	0.171881	0.519613	0.449607
9.45583	0.62377	0.209414	0.08216	-0.102917	0.037765	0.58357	0.329033
9.4554	0.317223	0.301528	-0.010413	-0.040156	0.093185	0.601922	0.445198
9.45497	0.746604	0.223526	0.032572	-0.143004	0.041102	0.58563	0.75646
9.45454	0.677637	0.208834	0.079511	0.166785	0.047393	0.378027	0.702238
9.45411	0.773034	0.218324	-0.052248	-0.060093	0.090822	0.438135	0.461808
9.45368	0.483404	0.29989	0.114995	-0.019771	0.092405	0.444667	0.265012
9.45325	0.601624	0.250508	-0.250391	0.321833	0.030801	0.317021	0.724152
9.45282	0.41243	0.079066	-0.362647	0.542266	-0.028195	0.444686	0.728938
9.45239	0.557771	0.150201	-0.099122	0.376847	0.014842	0.404646	0.470521
9.45196	0.557771	0.150201	-0.099122	0.376847	0.014842	0.404646	0.470521
9.45153	0.553332	0.237046	0.085173	-0.069634	0.015888	0.327118	0.164596
9.4511	1.027771	0.25695	0.006669	0.151825	-0.103081	-0.072267	0.245195
9.45067	0.681793	0.251491	-0.197157	0.008173	-0.004115	0.118023	0.402419
9.45024	0.822136	0.240275	-0.196665	0.226971	-0.009965	0.13231	0.301276
9.44981	0.636694	0.190901	0.014283	0.349249	0.053262	0.056267	0.451376
9.44938	0.353998	0.249353	-0.022121	0.118186	0.036017	0.25981	0.338634
9.44895	0.115747	0.30177	-0.07864	0.105514	0.197023	0.398098	0.281533
9.44852	0.619973	0.282253	-0.043594	-0.422418	0.113196	0.094176	0.139582
9.44809	0.684157	0.22024	0.170309	-0.47172	0.095852	0.081588	0.16351
9.44766	0.940563	0.198489	0.166238	-0.26648	0.114173	0.310703	0.311039
9.44723	0.362477	0.239943	-0.035244	-0.247385	0.088239	0.270844	0.398131
9.4468	0.298293	0.083474	-0.177927	0.152353	-0.074615	0.335327	0.209669
9.44637	0.394805	0.247764	0.039563	0.109753	0.058046	0.519715	0.431249
