Collection ID	10824
Type	SpectraCollection
Description	48,DSFu,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted residual after subtracting peaks for:  U6.837 (13), U6.824 (14).
Base sample ID	20531	20540	20541	20553	20637	20673	20707	20748	20792	20822	20834	20835
Time	48	48	48	48	48	48	48	48	48	48	48	48
Classification	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	5	6	3	1	2	4	25	29	28	26	30	27
Sample Description												
Weight												
Units of weight												
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Y12
5.542200	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
5.541500	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
5.540800	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
5.540100	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
5.539400	-0.007171	-0.003496	-0.017797	-0.001185	-0.005243	-0.003885	0.002075	0.004551	-0.000578	0.000769	0.001934	0.001285
5.538700	-0.007590	-0.003508	-0.018825	-0.002045	-0.005063	-0.004214	0.002051	0.004936	-0.000728	0.000594	0.002006	0.002347
5.538000	-0.007154	-0.002676	-0.017801	-0.001263	-0.005616	-0.005192	0.002929	0.004239	0.000029	0.000832	0.002237	0.001280
5.537300	-0.006830	-0.002506	-0.017960	-0.000945	-0.006029	-0.004014	0.002250	0.004968	0.000631	0.001332	0.002826	0.001565
5.536600	-0.005920	-0.002751	-0.017281	-0.000610	-0.003990	-0.003776	0.002584	0.005509	0.000789	0.001685	0.003189	0.001988
5.535900	-0.006543	-0.002582	-0.017704	-0.002342	-0.004362	-0.004198	0.002495	0.005378	0.000173	0.001366	0.002936	0.001670
5.535200	-0.006353	-0.003627	-0.018073	-0.003229	-0.004559	-0.004377	0.002701	0.004845	-0.000789	0.000664	0.003204	0.001586
5.534500	-0.006661	-0.004030	-0.016691	-0.002614	-0.005892	-0.004263	0.003256	0.004803	-0.001221	0.000008	0.002459	0.001552
5.533800	-0.006042	-0.002742	-0.016500	-0.002675	-0.005807	-0.003581	0.004363	0.005421	-0.001236	-0.000040	0.003018	0.002164
5.533100	-0.006519	-0.002423	-0.015657	-0.001816	-0.004330	-0.003801	0.003831	0.005644	0.000117	0.000116	0.003410	0.002612
5.532400	-0.006526	-0.002528	-0.014781	-0.000867	-0.003727	-0.003364	0.003185	0.005442	0.001118	0.001399	0.003331	0.002643
5.531700	-0.005751	-0.002072	-0.015241	-0.001170	-0.004291	-0.003298	0.004309	0.006140	0.001245	0.001080	0.003744	0.003792
5.531000	-0.006028	-0.002064	-0.014539	-0.002180	-0.003719	-0.003943	0.003747	0.006277	0.000648	0.001118	0.003916	0.002940
5.530300	-0.006587	-0.001768	-0.014518	-0.002038	-0.004382	-0.002906	0.003346	0.005392	0.001561	0.000555	0.003126	0.002310
5.529600	-0.006470	-0.001648	-0.014913	-0.000000	-0.003932	-0.002460	0.002243	0.004792	0.001557	0.000834	0.002919	0.002480
5.528900	-0.005886	-0.001005	-0.014898	0.000277	-0.003784	-0.002032	0.003449	0.005736	0.001332	0.000835	0.003475	0.003009
5.528200	-0.005239	-0.000191	-0.014724	0.001279	-0.003125	-0.001932	0.003580	0.006746	0.000960	0.001067	0.003653	0.003942
5.527500	-0.004288	0.000511	-0.013218	0.001021	-0.000923	-0.001638	0.004543	0.006216	0.002264	0.001545	0.004118	0.003854
5.526800	-0.003216	0.001121	-0.012019	0.001939	-0.000205	-0.000213	0.005624	0.006887	0.002529	0.002505	0.003822	0.004662
5.526100	-0.001264	0.002517	-0.011226	0.002254	0.001225	0.000766	0.006159	0.006925	0.002759	0.003940	0.003473	0.006336
5.525400	-0.000585	0.004134	-0.011027	0.002682	0.002761	0.002114	0.006993	0.008467	0.006089	0.006117	0.005807	0.006968
5.524700	0.000409	0.005391	-0.009307	0.004762	0.003804	0.003091	0.008052	0.009836	0.007861	0.007373	0.008160	0.009206
5.524000	0.002093	0.008471	-0.006841	0.008548	0.005425	0.006420	0.010825	0.011269	0.009313	0.009325	0.009266	0.010998
5.523300	0.005811	0.010758	-0.002549	0.010653	0.009577	0.009180	0.014788	0.014523	0.012731	0.011647	0.011071	0.013147
5.522600	0.008308	0.013304	0.001390	0.013945	0.012285	0.012166	0.017196	0.016916	0.015645	0.014410	0.014205	0.015769
5.521900	0.011083	0.017026	0.002753	0.018560	0.016418	0.015666	0.021196	0.020362	0.018536	0.016893	0.017081	0.019768
5.521200	0.014156	0.019002	0.006701	0.020945	0.020486	0.017506	0.022245	0.022317	0.021193	0.018780	0.019530	0.021238
5.520500	0.015434	0.017633	0.007118	0.020339	0.020320	0.016573	0.022410	0.022575	0.022328	0.019106	0.020602	0.021281
5.519800	0.014636	0.013674	0.005410	0.017236	0.017322	0.014191	0.021624	0.022280	0.021290	0.017198	0.020427	0.021778
5.519100	0.012421	0.011521	0.003176	0.013640	0.013410	0.010561	0.019148	0.019942	0.017987	0.014658	0.017904	0.019305
5.518400	0.008955	0.007202	0.000138	0.009336	0.009419	0.006431	0.015004	0.017023	0.014512	0.009763	0.015874	0.015429
5.517700	0.003547	0.002758	-0.004743	0.005345	0.005653	0.002807	0.010388	0.014243	0.010001	0.006205	0.012024	0.012791
5.517000	-0.000928	0.000869	-0.009632	0.002444	0.000614	0.000401	0.008180	0.010643	0.005212	0.005363	0.008249	0.009151
5.516300	-0.003270	-0.000041	-0.011367	0.001980	-0.000297	-0.001095	0.006167	0.008743	0.003390	0.003410	0.005423	0.006367
5.515600	-0.005170	-0.001287	-0.014417	0.000852	-0.002706	-0.002328	0.005112	0.007564	0.001500	0.002234	0.004645	0.006129
5.514900	-0.006018	-0.001962	-0.015712	-0.001003	-0.004304	-0.003777	0.004355	0.005916	0.000379	0.001480	0.003321	0.004310
5.514200	-0.007678	-0.003417	-0.017448	-0.001566	-0.005340	-0.004225	0.002926	0.005034	-0.000695	0.000012	0.002652	0.003255
5.513500	-0.007699	-0.004150	-0.019471	-0.002117	-0.004890	-0.003823	0.001156	0.003434	-0.000237	-0.000410	0.001347	0.001513
5.512800	-0.007510	-0.003869	-0.020384	-0.003145	-0.005945	-0.004684	0.001833	0.002792	-0.001866	-0.000255	0.001241	0.002402
5.512100	-0.008116	-0.003332	-0.019993	-0.003712	-0.006175	-0.004219	0.001223	0.003127	-0.002812	-0.001974	0.001078	0.001392
5.511400	-0.008783	-0.003021	-0.020879	-0.003595	-0.006563	-0.004428	0.001550	0.003772	-0.001903	-0.002733	0.000938	0.001182
5.510700	-0.008502	-0.003192	-0.019132	-0.003322	-0.006208	-0.004360	0.001378	0.003121	-0.002619	-0.003286	0.001003	0.000685
5.510000	-0.007704	-0.002837	-0.019387	-0.002322	-0.007198	-0.003540	0.002381	0.003215	-0.001961	-0.001890	0.000593	0.000631
5.509300	-0.007024	-0.003686	-0.019463	-0.001660	-0.007822	-0.002886	0.002387	0.003458	-0.002150	-0.000100	0.001609	0.000983
5.508600	-0.007433	-0.003450	-0.019369	-0.002108	-0.007229	-0.001947	0.003185	0.003647	-0.002813	0.000659	0.001458	0.001237
5.507900	-0.006577	-0.002487	-0.020044	-0.001968	-0.006572	-0.001565	0.003951	0.003323	-0.002088	0.000888	0.001684	0.001975
5.507200	-0.005539	-0.002195	-0.019740	-0.002233	-0.006109	-0.001789	0.003896	0.004461	-0.001667	0.001439	0.002518	0.001888
5.506500	-0.006528	-0.003111	-0.019229	-0.002761	-0.006521	-0.003274	0.003710	0.003917	-0.001227	0.000130	0.002180	0.001347
5.505800	-0.008126	-0.003193	-0.019479	-0.002292	-0.006803	-0.004923	0.003285	0.003793	-0.002093	-0.000782	0.000963	0.001101
5.505100	-0.008928	-0.004516	-0.019023	-0.003166	-0.006247	-0.005612	0.002266	0.002939	-0.002710	-0.001295	0.000231	0.000225
5.504400	-0.010702	-0.004394	-0.019769	-0.002914	-0.006003	-0.004738	0.002602	0.003929	-0.002839	-0.000885	0.001354	0.000412
5.503700	-0.010099	-0.003397	-0.018561	-0.003200	-0.007442	-0.005164	0.003584	0.003946	-0.002035	-0.000610	0.001785	0.001607
5.503000	-0.008954	-0.003080	-0.018266	-0.003528	-0.007902	-0.005557	0.003377	0.003806	-0.002298	-0.000474	0.002467	0.001120
5.502300	-0.008416	-0.003124	-0.018547	-0.003598	-0.006965	-0.006034	0.002443	0.003214	-0.002224	-0.001827	0.001556	0.002508
5.501600	-0.009858	-0.003695	-0.018569	-0.003694	-0.006490	-0.006301	0.001974	0.002229	-0.003540	-0.002134	0.000501	0.000822
5.500900	-0.009329	-0.005084	-0.017641	-0.004271	-0.006486	-0.006296	0.001400	0.001402	-0.004288	-0.002572	0.000846	0.000348
5.500200	-0.009652	-0.003874	-0.017872	-0.004661	-0.006364	-0.007047	0.001855	0.001448	-0.003786	-0.003156	0.000909	0.000597
5.499500	-0.009843	-0.004846	-0.018300	-0.005576	-0.006369	-0.006911	0.000600	0.001187	-0.003722	-0.003425	-0.000135	-0.000472
5.498800	-0.010011	-0.005528	-0.018455	-0.005616	-0.006796	-0.007057	0.000892	0.000440	-0.005527	-0.002849	0.000415	-0.001404
5.498100	-0.010061	-0.004751	-0.019742	-0.004604	-0.007351	-0.006614	0.001006	0.000624	-0.005242	-0.003669	-0.000421	-0.000782
5.497400	-0.010621	-0.006367	-0.019893	-0.004574	-0.007746	-0.006762	-0.000655	0.000963	-0.006298	-0.003797	-0.000984	-0.001217
5.496700	-0.010635	-0.005757	-0.021569	-0.005042	-0.007875	-0.008000	-0.000855	0.001361	-0.005994	-0.003797	-0.001362	-0.001523
5.496000	-0.010442	-0.005393	-0.022271	-0.005677	-0.008541	-0.007141	0.000608	0.001635	-0.006733	-0.003457	-0.002169	-0.000463
5.495300	-0.009120	-0.005336	-0.022804	-0.005902	-0.007566	-0.006405	0.001750	0.000711	-0.006032	-0.002894	-0.001445	-0.001114
5.494600	-0.010447	-0.006440	-0.022390	-0.004900	-0.006958	-0.007135	0.001755	0.001065	-0.005067	-0.001845	-0.001191	-0.000629
5.493900	-0.010122	-0.007076	-0.021656	-0.005277	-0.006820	-0.006190	0.001139	0.000972	-0.004582	-0.002125	-0.000883	-0.000872
5.493200	-0.010727	-0.006755	-0.021201	-0.006041	-0.007538	-0.006417	0.000194	0.000948	-0.004468	-0.001888	-0.000658	-0.000889
5.492500	-0.010869	-0.006741	-0.021924	-0.005156	-0.007625	-0.006901	0.000584	0.000716	-0.005236	-0.002030	-0.000719	-0.000968
5.491800	-0.009403	-0.006245	-0.021219	-0.003449	-0.006870	-0.005901	0.001549	0.000757	-0.005875	-0.002437	-0.001193	-0.000523
5.491100	-0.008410	-0.004565	-0.020403	-0.002204	-0.007188	-0.004584	0.002145	0.001647	-0.005453	-0.002267	-0.001086	-0.000794
5.490400	-0.008625	-0.004377	-0.017763	-0.002244	-0.007032	-0.004398	0.002349	0.002469	-0.004975	-0.002696	-0.000601	-0.000402
5.489700	-0.007881	-0.005661	-0.017725	-0.004044	-0.007905	-0.005299	0.001968	0.002392	-0.004832	-0.003239	0.000700	0.000057
5.489000	-0.008375	-0.006307	-0.018650	-0.004010	-0.007705	-0.005069	0.001720	0.002139	-0.005035	-0.003332	0.000361	0.000299
5.488300	-0.009891	-0.006739	-0.020391	-0.004022	-0.009314	-0.005125	0.001055	0.002244	-0.005290	-0.002755	-0.000424	-0.000544
5.487600	-0.009724	-0.006309	-0.021117	-0.004737	-0.010056	-0.006280	0.000452	0.002671	-0.005478	-0.002375	-0.000744	-0.001095
5.486900	-0.009054	-0.005733	-0.021374	-0.005182	-0.009395	-0.006303	-0.000059	0.001479	-0.005411	-0.002802	0.000051	-0.001841
5.486200	-0.009899	-0.006428	-0.021576	-0.004986	-0.009522	-0.004842	-0.000494	0.000704	-0.005984	-0.002710	-0.000185	-0.001726
5.485500	-0.009871	-0.005964	-0.020405	-0.004923	-0.008714	-0.005875	-0.001104	0.000687	-0.005997	-0.004026	-0.001024	-0.001597
5.484800	-0.010804	-0.005792	-0.021263	-0.006569	-0.009070	-0.006668	-0.000797	0.000075	-0.006343	-0.003701	-0.001299	-0.001573
5.484100	-0.011085	-0.006617	-0.021136	-0.006780	-0.010131	-0.006562	-0.000396	0.000714	-0.006358	-0.004270	-0.000838	-0.001628
5.483400	-0.011038	-0.006399	-0.021879	-0.006478	-0.009913	-0.005648	-0.000695	0.000707	-0.006572	-0.004561	-0.000962	-0.002407
5.482700	-0.010708	-0.006519	-0.021093	-0.006840	-0.010708	-0.005934	-0.000570	0.000178	-0.006201	-0.004279	-0.001993	-0.001903
5.482000	-0.010362	-0.007481	-0.021073	-0.006204	-0.011091	-0.006081	-0.001317	0.000541	-0.007006	-0.004153	-0.002548	-0.001807
5.481300	-0.011461	-0.006870	-0.022409	-0.007182	-0.011406	-0.006371	-0.000668	0.000192	-0.006733	-0.004618	-0.000906	-0.001124
5.480600	-0.009561	-0.006981	-0.021168	-0.006666	-0.010317	-0.006352	-0.000590	0.000273	-0.006856	-0.004448	-0.000599	-0.001480
5.479900	-0.009362	-0.006399	-0.020485	-0.006041	-0.010713	-0.006633	-0.001228	0.000432	-0.005808	-0.004818	-0.000990	-0.001548
5.479200	-0.009033	-0.006147	-0.020984	-0.005422	-0.009652	-0.006281	-0.000284	0.001272	-0.005551	-0.003827	-0.000936	-0.002315
5.478500	-0.008473	-0.005743	-0.020849	-0.005033	-0.009506	-0.005589	0.000776	0.001972	-0.005174	-0.003786	-0.001241	-0.001099
5.477800	-0.008038	-0.006328	-0.019902	-0.004148	-0.007989	-0.004691	0.001191	0.001852	-0.004591	-0.003865	-0.000921	-0.000453
5.477100	-0.008799	-0.005617	-0.018802	-0.004425	-0.008338	-0.004975	0.001509	0.001767	-0.004157	-0.004965	-0.000920	0.000017
5.476400	-0.009524	-0.005150	-0.020714	-0.005249	-0.009019	-0.005103	0.000178	0.001786	-0.005350	-0.005577	0.000402	0.000410
5.475700	-0.008770	-0.005960	-0.019687	-0.004873	-0.009183	-0.004560	0.001468	0.000861	-0.005889	-0.004908	0.000420	-0.000373
5.475000	-0.007690	-0.004785	-0.019975	-0.003772	-0.008554	-0.004308	0.001337	0.001011	-0.005354	-0.003960	-0.000191	0.000578
5.474300	-0.007528	-0.004465	-0.020514	-0.002755	-0.009321	-0.002897	0.000972	0.001544	-0.005831	-0.003579	0.000263	0.000840
5.473600	-0.007185	-0.003464	-0.019530	-0.001916	-0.008531	-0.002064	0.002195	0.001503	-0.005517	-0.003563	0.000120	0.001270
5.472900	-0.006024	-0.003927	-0.020308	-0.001933	-0.007216	-0.001006	0.002356	0.001931	-0.005106	-0.003003	0.000902	0.001330
5.472200	-0.005816	-0.003404	-0.020466	-0.002225	-0.007377	-0.001239	0.002602	0.002497	-0.004492	-0.003955	0.001703	0.000458
5.471500	-0.006422	-0.004152	-0.020334	-0.002201	-0.006404	-0.000974	0.002617	0.001988	-0.004176	-0.003648	0.000822	0.001087
5.470800	-0.005194	-0.003123	-0.020340	-0.000980	-0.005975	-0.000575	0.003344	0.001955	-0.004021	-0.003557	0.000343	0.001736
5.470100	-0.004733	-0.003160	-0.018931	0.000312	-0.005918	0.000551	0.004945	0.002967	-0.004461	-0.001704	0.002074	0.001810
5.469400	-0.003868	-0.002293	-0.018481	0.002619	-0.005570	0.003246	0.007392	0.004411	-0.004116	0.001262	0.003403	0.002637
5.468700	-0.001163	-0.001593	-0.017375	0.004852	-0.003080	0.005495	0.010240	0.005631	-0.002452	0.004519	0.003837	0.004349
5.468000	0.002300	0.000145	-0.015544	0.007118	0.000318	0.007608	0.013907	0.007591	-0.001621	0.006575	0.004160	0.006095
5.467300	0.004295	0.003112	-0.013739	0.011578	0.001430	0.012253	0.016333	0.009949	0.001022	0.009688	0.005808	0.008094
5.466600	0.005199	0.005742	-0.011651	0.014268	0.004462	0.013201	0.016746	0.013876	0.003939	0.011329	0.008669	0.011571
5.465900	0.004516	0.006962	-0.008923	0.012606	0.005364	0.013630	0.016032	0.015692	0.004988	0.010493	0.011334	0.014498
5.465200	0.006068	0.008063	-0.006077	0.011987	0.007658	0.012698	0.017291	0.016610	0.004656	0.011135	0.011613	0.016288
5.464500	0.007350	0.010639	-0.002143	0.013121	0.011227	0.013063	0.017914	0.016751	0.005799	0.010676	0.013834	0.017716
5.463800	0.007577	0.011645	-0.000647	0.013589	0.010741	0.014360	0.017191	0.015374	0.008804	0.011018	0.014501	0.018102
5.463100	0.006736	0.012992	0.001014	0.013042	0.009288	0.014419	0.016118	0.014865	0.009475	0.013144	0.013892	0.016008
5.462400	0.005958	0.012916	0.000089	0.011354	0.007086	0.014116	0.015349	0.013513	0.008215	0.013973	0.012080	0.013789
5.461700	0.004989	0.010304	-0.003506	0.011279	0.004182	0.014647	0.015108	0.012726	0.007943	0.013023	0.011106	0.010644
5.461000	0.003263	0.008349	-0.006964	0.011692	0.002234	0.013352	0.013860	0.012288	0.005956	0.010474	0.009908	0.009294
5.460300	0.000010	0.005196	-0.009197	0.010919	-0.000158	0.012235	0.011301	0.011707	0.004105	0.007983	0.008994	0.008905
5.459600	-0.001464	0.003373	-0.010667	0.009171	-0.002549	0.010001	0.009628	0.011387	0.003427	0.005853	0.007529	0.009763
5.458900	-0.001293	0.002651	-0.011002	0.008086	-0.000391	0.010032	0.008945	0.010385	0.001859	0.005402	0.007088	0.009541
5.458200	0.000295	0.003746	-0.010217	0.008281	0.002277	0.009388	0.009718	0.009669	0.001706	0.005832	0.006116	0.008655
5.457500	0.000955	0.007226	-0.008259	0.007068	0.004220	0.008972	0.011521	0.008480	0.002864	0.008247	0.006902	0.008251
5.456800	0.003792	0.008935	-0.007158	0.006969	0.004396	0.009467	0.012963	0.008928	0.003658	0.008867	0.007478	0.007781
5.456100	0.005092	0.009634	-0.006696	0.007726	0.003371	0.009853	0.013956	0.010261	0.004115	0.009514	0.009875	0.008377
5.455400	0.006489	0.007716	-0.006054	0.009470	0.003129	0.011450	0.016820	0.010623	0.002828	0.009087	0.010435	0.008927
5.454700	0.006882	0.006556	-0.003853	0.009564	0.005681	0.011162	0.014034	0.012484	0.002155	0.005475	0.010881	0.011250
5.454000	0.000896	0.004188	-0.005048	0.008247	0.004265	0.009694	0.011186	0.012358	0.001902	0.002844	0.011291	0.010704
5.453300	-0.001011	0.003170	-0.007303	0.006321	0.001188	0.007450	0.007777	0.009036	0.001719	0.004052	0.009450	0.008966
5.452600	-0.002524	0.002314	-0.009580	0.003359	-0.001272	0.004937	0.006474	0.006555	0.001078	0.004083	0.007081	0.007638
5.451900	-0.004097	-0.000678	-0.013578	0.000599	-0.002188	0.002273	0.003841	0.005548	0.001140	-0.001393	0.004234	0.005871
5.451200	-0.006955	-0.002621	-0.019118	0.000482	-0.004033	0.001739	0.002311	0.004378	-0.002426	-0.003671	0.001695	0.003577
5.450500	-0.007491	-0.003773	-0.020107	-0.000835	-0.005715	0.000768	0.001005	0.003247	-0.003194	-0.004977	0.000457	0.001477
5.449800	-0.007195	-0.003860	-0.019926	-0.001455	-0.005757	0.001380	0.001767	0.002114	-0.002435	-0.004384	-0.000454	0.000652
5.449100	-0.006901	-0.003994	-0.021289	-0.001998	-0.005091	0.001430	0.003384	0.001553	-0.004599	-0.003519	-0.000550	0.000913
5.448400	-0.005908	-0.003928	-0.021990	-0.001419	-0.003932	0.001716	0.003952	0.001231	-0.005962	-0.003425	0.000776	0.000566
5.447700	-0.005393	-0.002645	-0.019711	-0.000746	-0.003283	0.001834	0.003359	0.001913	-0.005791	-0.003153	0.002406	0.001245
5.447000	-0.004529	-0.003814	-0.016856	-0.000573	-0.003876	0.001602	0.003543	0.002659	-0.006055	-0.002378	0.002082	0.001257
5.446300	-0.003144	-0.004642	-0.016824	-0.000833	-0.003966	0.002084	0.003373	0.003323	-0.004225	-0.002889	0.001561	0.000537
5.445600	-0.002784	-0.004174	-0.016740	0.001233	-0.004923	0.004079	0.004826	0.003738	-0.004841	-0.002718	0.002154	0.001483
5.444900	-0.002298	-0.003621	-0.014596	0.002596	-0.003728	0.005083	0.006054	0.003554	-0.004698	-0.002684	0.002664	0.002149
5.444200	-0.001585	-0.001272	-0.013311	0.006081	-0.003527	0.008851	0.009236	0.004529	-0.002922	0.000368	0.004086	0.001355
5.443500	0.001975	0.002214	-0.011691	0.011402	-0.001306	0.014444	0.013580	0.007389	-0.000229	0.004653	0.007549	0.004189
5.442800	0.006880	0.008024	-0.007030	0.017479	0.001818	0.020925	0.018610	0.011113	0.003415	0.008685	0.012793	0.008326
5.442100	0.011904	0.014494	-0.001927	0.022550	0.005943	0.025130	0.019842	0.015622	0.009391	0.008667	0.017806	0.012389
5.441400	0.014408	0.015911	0.003880	0.021677	0.010543	0.024003	0.017582	0.019601	0.015141	0.004589	0.023995	0.016371
5.440700	0.014131	0.015292	0.004901	0.019030	0.010387	0.022664	0.014786	0.019857	0.015231	0.003396	0.025121	0.015905
5.440000	0.015282	0.013828	0.002922	0.020120	0.010530	0.024336	0.017027	0.019902	0.014730	0.005198	0.022548	0.013383
5.439300	0.016178	0.014893	-0.000611	0.025628	0.012868	0.029448	0.020465	0.020422	0.017190	0.007999	0.021866	0.013165
5.438600	0.017273	0.015797	-0.002834	0.029244	0.016459	0.032855	0.022757	0.022208	0.018755	0.011025	0.022903	0.015250
5.437900	0.016253	0.016649	-0.002893	0.029460	0.018325	0.034301	0.024501	0.022617	0.021254	0.011864	0.023341	0.017924
5.437200	0.014593	0.015595	-0.003386	0.029140	0.019965	0.033878	0.024765	0.021042	0.022122	0.013202	0.022967	0.018490
5.436500	0.013142	0.014642	-0.004706	0.030039	0.018625	0.034061	0.027114	0.019969	0.019457	0.015665	0.022398	0.019404
5.435800	0.013938	0.016253	-0.005770	0.030798	0.018130	0.034231	0.026294	0.019603	0.017914	0.016948	0.022768	0.022186
5.435100	0.014950	0.016486	-0.005413	0.029221	0.017877	0.031659	0.023528	0.020414	0.017229	0.014802	0.024863	0.024764
5.434400	0.013228	0.012957	-0.003999	0.022962	0.015386	0.025723	0.019487	0.018673	0.015993	0.011240	0.023235	0.024254
5.433700	0.010127	0.010145	-0.006436	0.019018	0.010888	0.023715	0.018353	0.014905	0.011964	0.010494	0.018753	0.020156
5.433000	0.010480	0.011153	-0.007215	0.019935	0.010150	0.025208	0.020111	0.014085	0.010219	0.012135	0.017139	0.018031
5.432300	0.012092	0.012915	-0.006679	0.022669	0.010604	0.028224	0.020855	0.015467	0.011182	0.013450	0.017140	0.017920
5.431600	0.013908	0.014655	-0.004160	0.022511	0.012574	0.028533	0.018714	0.018579	0.013437	0.010744	0.018363	0.018579
5.430900	0.012071	0.013145	-0.001643	0.019324	0.012660	0.024551	0.014926	0.017571	0.014895	0.006322	0.019873	0.018199
5.430200	0.009058	0.010757	-0.001307	0.016059	0.009028	0.021039	0.011701	0.015402	0.012391	0.003384	0.017830	0.015205
5.429500	0.007400	0.010688	-0.002872	0.015481	0.005960	0.020082	0.010336	0.013856	0.009726	0.002393	0.012962	0.010714
5.428800	0.007883	0.009657	-0.005023	0.015680	0.004771	0.020379	0.010719	0.013640	0.009725	0.002257	0.013038	0.008240
5.428100	0.007061	0.009251	-0.006067	0.015252	0.004443	0.022145	0.011524	0.013105	0.009808	0.003273	0.012972	0.007649
5.427400	0.008492	0.009816	-0.007389	0.016897	0.006258	0.024563	0.012617	0.013400	0.010086	0.004817	0.012629	0.006529
5.426700	0.009505	0.011771	-0.007537	0.020425	0.007384	0.028362	0.014246	0.014104	0.012299	0.007053	0.013960	0.007303
5.426000	0.012408	0.015659	-0.006249	0.025352	0.009534	0.033897	0.016711	0.016904	0.014431	0.010442	0.015850	0.008554
5.425300	0.016141	0.018925	-0.002481	0.031827	0.014140	0.043387	0.022016	0.020387	0.017546	0.016348	0.021160	0.010454
5.424600	0.022907	0.030026	-0.001452	0.047860	0.020466	0.065297	0.036034	0.026691	0.023330	0.032144	0.027443	0.013344
5.423900	0.039284	0.044632	0.003188	0.070105	0.036074	0.094584	0.055289	0.041625	0.037292	0.054773	0.045181	0.020356
5.423200	0.059499	0.070977	0.010121	0.108455	0.055468	0.141307	0.087681	0.061534	0.057981	0.089667	0.068251	0.031118
5.422500	0.091423	0.122919	0.024132	0.178751	0.086722	0.220476	0.137721	0.095305	0.092265	0.138031	0.108218	0.048080
5.421800	0.139002	0.167531	0.047883	0.230396	0.135670	0.273993	0.168210	0.152767	0.156088	0.163188	0.178714	0.075487
5.421100	0.167280	0.193675	0.065926	0.259173	0.164734	0.304260	0.183481	0.191136	0.204612	0.170137	0.224961	0.088178
5.420400	0.175408	0.184512	0.077179	0.252048	0.170680	0.302119	0.172893	0.206425	0.227712	0.160495	0.238245	0.087722
5.419700	0.154669	0.153263	0.078585	0.214374	0.145734	0.267293	0.147101	0.188333	0.212558	0.139491	0.207681	0.073525
5.419000	0.125076	0.117906	0.068026	0.170005	0.117221	0.217765	0.117080	0.156346	0.176133	0.112522	0.165392	0.060486
5.418300	0.102051	0.091624	0.056815	0.133008	0.097523	0.173140	0.098997	0.124352	0.136921	0.096759	0.126491	0.052007
5.417600	0.093945	0.093387	0.050931	0.135187	0.093286	0.172659	0.107504	0.105507	0.109203	0.107891	0.105837	0.054305
5.416900	0.104887	0.112809	0.057265	0.164351	0.104706	0.207047	0.132939	0.113266	0.113146	0.136744	0.116135	0.063520
5.416200	0.130505	0.144570	0.069827	0.208912	0.127555	0.257984	0.164856	0.137671	0.139979	0.170067	0.148452	0.078113
5.415500	0.161136	0.185664	0.085496	0.257224	0.158107	0.307952	0.191526	0.172199	0.179317	0.191466	0.192662	0.096209
5.414800	0.190960	0.228458	0.100410	0.299772	0.186968	0.349792	0.210087	0.207340	0.224651	0.199496	0.238200	0.111215
5.414100	0.209326	0.232433	0.115305	0.302664	0.202597	0.353880	0.206744	0.231874	0.262010	0.192892	0.265540	0.117270
5.413400	0.202186	0.209315	0.117616	0.276017	0.193693	0.328628	0.185186	0.225303	0.261130	0.173867	0.251278	0.110293
5.412700	0.179270	0.167609	0.111468	0.221346	0.170660	0.269294	0.149038	0.200728	0.234794	0.140390	0.213389	0.099468
5.412000	0.150123	0.143840	0.102447	0.187360	0.144350	0.226399	0.128069	0.160634	0.190394	0.116938	0.163449	0.089580
5.411300	0.138985	0.133963	0.099803	0.171175	0.133896	0.202000	0.119139	0.139801	0.165044	0.104968	0.139057	0.087437
5.410600	0.137827	0.136085	0.105687	0.170916	0.134800	0.193023	0.123197	0.133134	0.156302	0.100787	0.131113	0.091747
5.409900	0.152202	0.144206	0.123461	0.181585	0.147949	0.199656	0.136031	0.138963	0.158258	0.104306	0.132594	0.103977
5.409200	0.167439	0.156361	0.144149	0.197143	0.161336	0.210858	0.149006	0.149300	0.165102	0.108839	0.140119	0.117454
5.408500	0.182927	0.169115	0.167531	0.213618	0.174451	0.224169	0.160836	0.160233	0.175005	0.111031	0.149912	0.131701
