Collection ID	10824
Type	SpectraCollection
Description	48,DSFu,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted residual after subtracting peaks for:  U6.837 (13), U6.824 (14).
Base sample ID	20531	20540	20541	20553	20637	20673	20707	20748	20792	20822	20834	20835
Time	48	48	48	48	48	48	48	48	48	48	48	48
Classification	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	5	6	3	1	2	4	25	29	28	26	30	27
Sample Description												
Weight												
Units of weight												
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Y12
9.735900	0.000257	0.001020	0.000800	0.000083	0.000464	0.000239	0.000146	0.000114	0.000794	-0.000378	0.001404	0.000406
9.735200	0.001395	0.000676	0.000717	0.000129	0.000860	0.000273	0.000758	0.000232	0.001335	-0.000024	0.000968	0.000762
9.734500	0.001643	0.001542	0.001416	0.000659	0.000266	0.000857	0.000690	0.001050	0.001113	0.000033	0.000780	0.000943
9.733800	0.001562	0.001636	-0.000195	0.001278	0.000055	0.000629	0.000387	0.001832	-0.000503	0.001116	0.000933	0.000297
9.733100	0.001957	0.000564	-0.000854	0.001913	0.000475	0.000666	-0.000281	0.001831	0.000215	0.000282	0.000829	0.000507
9.732400	0.001934	0.000679	0.000293	0.000114	-0.000188	0.000773	0.001017	0.000657	-0.000374	0.000280	0.000704	0.000501
9.731700	0.001439	0.000001	0.001540	0.000536	0.000811	0.000894	-0.000162	0.001235	0.000890	0.000312	-0.000057	0.001022
9.731000	0.000891	0.000765	0.000543	0.000423	0.001454	0.001876	0.000562	0.001312	0.000310	0.001275	0.000440	0.000898
9.730300	0.000922	-0.000147	0.001645	0.001226	0.001884	0.000846	-0.000378	0.000740	0.000300	0.000766	-0.000480	0.001152
9.729600	0.000746	0.000555	0.000684	0.000733	0.000393	0.000724	0.000947	0.000702	0.000669	0.000558	-0.000424	0.000654
9.728900	0.000130	-0.000163	0.000457	0.000201	0.000863	0.001301	0.001249	0.000596	-0.000404	0.000269	0.000475	0.000850
9.728200	-0.000485	0.000582	0.001010	0.001214	0.000832	0.000531	0.000406	-0.000718	0.000244	-0.000381	0.000196	0.000453
9.727500	0.000845	0.000862	0.000182	0.001130	0.000649	0.000745	-0.000055	0.000418	0.001064	0.000475	0.000044	-0.000279
9.726800	0.000153	-0.001620	-0.000250	0.000462	-0.000587	0.001112	0.001330	0.000788	0.000038	0.001455	0.000520	-0.000790
9.726100	0.000484	-0.001357	0.001443	-0.000224	0.000813	0.000539	0.000822	0.000881	0.000630	0.000842	0.000360	-0.001289
9.725400	-0.001122	0.000759	0.000101	-0.000224	0.000735	-0.000119	0.000975	-0.000576	-0.000326	0.000711	0.001275	0.000097
9.724700	-0.000542	0.001261	-0.000028	-0.000294	0.001185	0.000263	0.000703	-0.000149	0.000594	0.000272	0.000620	0.000711
9.724000	0.000696	0.001151	-0.000564	0.000343	0.000648	0.000427	0.000339	0.000476	0.001270	0.000438	-0.000521	-0.000053
9.723300	0.000286	-0.000410	-0.001220	0.000120	0.000157	-0.000103	0.000389	0.000620	-0.001421	0.000147	0.000116	-0.000196
