Collection ID	10825
Type	SpectraCollection
Description	48,VeVe,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted residual after subtracting peaks for:  U6.837 (13), U6.824 (14).
Base sample ID	20509	20526	20539	20590	20592	20648	20690	20715	20819	20826	20837
Time	48	48	48	48	48	48	48	48	48	48	48
Classification	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	20	21	19	24	22	23	44	46	47	45	43
Sample Description											
Weight											
Units of weight											
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11
9.769500	-0.000144	-0.000200	0.000687	-0.000219	-0.001278	-0.000412	0.000152	0.000349	-0.000636	0.000160	-0.000455
9.768800	-0.000252	0.000187	-0.000197	0.000010	-0.000691	0.000161	0.000586	-0.000389	-0.000817	-0.000408	-0.000750
9.768100	-0.000359	0.000212	-0.000744	0.000422	0.000491	-0.000194	0.000629	-0.000463	0.000165	-0.000143	-0.000706
9.767400	0.000018	-0.000311	-0.000651	0.000393	0.000554	-0.001230	0.000449	-0.000235	0.000107	-0.000300	-0.000229
9.766700	0.000077	-0.000206	-0.000341	-0.000059	-0.000137	-0.000861	-0.000121	-0.000211	-0.000027	-0.000521	0.000450
9.766000	-0.000416	0.000883	0.000434	-0.000166	-0.000117	-0.000100	0.000185	-0.000496	-0.000348	-0.000161	-0.000048
9.765300	-0.000283	0.000403	0.000279	-0.000365	0.000407	-0.000088	-0.000186	-0.000921	-0.000113	0.000124	0.001014
9.764600	0.000158	0.000865	0.000541	0.000262	0.000272	0.000114	-0.000889	-0.000315	-0.000153	-0.000181	0.000538
9.763900	0.000034	0.000516	0.000460	0.000380	0.000242	-0.000125	0.000277	0.000128	-0.000207	-0.000020	0.000316
9.763200	0.000624	0.000191	0.000265	0.000490	-0.000464	-0.000396	0.000516	0.000566	-0.000073	0.000276	-0.000417
